Item,ItemId,Name,Spec,Date
"Amulet of Vek'nilash",21608,Adenium,Destruction,"2025-07-06 19:36:31"
"Ancient Qiraji Ripper",21650,Farlopo,Fury,"2025-07-06 19:19:17"
"Badge of the Swarmguard",21670,Bruceli,Fury,"2025-07-06 15:30:05"
"Badge of the Swarmguard",21670,Divine,Protection,"2025-07-06 19:35:47"
"Badge of the Swarmguard",21670,Zaiterlo,Fury,"2025-07-06 15:59:32"
"Barbed Choker",21664,Milshunter,Marksmanship,"2025-07-06 19:09:08"
"Belt of Never-ending Agony",21586,Krits,Swords,"2025-07-06 19:37:20"
"Belt of Never-ending Agony",21586,Minetkomat,Daggers,"2025-07-06 14:58:54"
"Boots of the Redeemed Prophecy",21704,Dreschflegel,Holy,"2025-07-06 17:43:02"
"Bracelets of Royal Redemption",21604,Mornie,Discipline,"2025-07-06 15:26:02"
"Bracelets of Royal Redemption",21604,Mornie,Discipline,"2025-07-06 15:26:02"
"Breastplate of Annihilation",21814,Farlopo,Fury,"2025-07-06 19:19:17"
"Carapace of the Old God",20929,Mf,Daggers,"2025-07-06 19:29:39"
"Cloak of Clarity",21583,Maruan,Discipline,"2025-07-06 16:13:25"
"Cloak of Clarity",21583,Mezz,Restoration,"2025-07-06 19:22:34"
"Cloak of Concentrated Hatred",21701,Krits,Swords,"2025-07-06 19:37:20"
"Cloak of Concentrated Hatred",21701,Stridaren,Fury,"2025-07-06 19:00:46"
"Cloak of Concentrated Hatred",21701,Zizú,Fury,"2025-07-06 18:40:01"
"Cloak of the Devoured",22731,Michalion,Shadow,"2025-07-06 18:10:30"
"Cloak of the Devoured",22731,Michalion,Shadow,"2025-07-06 18:10:30"
"Cloak of the Devoured",22731,Snotspat,"DS Ruin","2025-07-06 19:27:30"
"Dark Edge of Insanity",21134,Frozenwarr,Fury,"2025-07-06 19:31:56"
"Dark Storm Gauntlets",21585,Adenium,Destruction,"2025-07-06 19:36:31"
"Dark Storm Gauntlets",21585,Caesartje,Fire,"2025-07-06 19:06:29"
"Dark Storm Gauntlets",21585,Caesartje,Fire,"2025-07-06 19:06:29"
"Dark Storm Gauntlets",21585,Snotspat,"DS Ruin","2025-07-06 19:27:30"
"Death's Sting",21126,Minetkomat,Daggers,"2025-07-06 14:58:54"
"Death's Sting",21126,Selenax,Daggers,"2025-07-06 19:35:50"
"Death's Sting",21126,Selenax,Daggers,"2025-07-06 19:35:50"
"Don Rigoberto's Lost Hat",21615,Constant,Holy,"2025-07-06 15:51:56"
"Don Rigoberto's Lost Hat",21615,Datsik,Holy,"2025-07-06 18:58:44"
"Don Rigoberto's Lost Hat",21615,Mezz,Restoration,"2025-07-06 19:22:34"
"Eye of C'Thun",21221,Shirley,Protection,"2025-07-06 18:47:27"
"Eyestalk Waist Cord",22730,Lilleline,Fire,"2025-07-06 16:29:54"
"Eyestalk Waist Cord",22730,Lilleline,Fire,"2025-07-06 16:29:54"
"Gauntlets of Annihilation",21581,Aminth,Protection,"2025-07-06 20:25:32"
"Gauntlets of Annihilation",21581,Ashbringerr,Fury,"2025-07-06 17:40:43"
"Gauntlets of Annihilation",21581,Ashbringerr,Fury,"2025-07-06 17:40:43"
"Gauntlets of Annihilation",21581,Fjordur,Retribution,"2025-07-06 19:38:22"
"Gauntlets of Annihilation",21581,Fjordur,Retribution,"2025-07-06 19:38:22"
"Gauntlets of Steadfast Determination",21674,Deliciouss,Protection,"2025-07-06 17:57:33"
"Gauntlets of Steadfast Determination",21674,Deliciouss,Protection,"2025-07-06 17:57:33"
"Gloves of Enforcement",21672,Adya,Feral,"2025-07-06 19:15:11"
"Grasp of the Old God",21582,Maruan,Discipline,"2025-07-06 16:13:25"
"Grasp of the Old God",21582,Yulefuel,Discipline,"2025-07-06 15:17:25"
"Idol of Health",22399,Skoomael,Restoration,"2025-07-06 19:26:01"
"Imperial Qiraji Armaments",21232,Frozenwarr,Fury,"2025-07-06 19:31:56"
"Imperial Qiraji Armaments",21232,Zizú,Fury,"2025-07-06 18:40:01"
"Imperial Qiraji Regalia",21237,Adya,Feral,"2025-07-06 19:15:11"
"Jom Gabbar",23570,Aminth,Protection,"2025-07-06 20:25:32"
"Jom Gabbar",23570,Bruceli,Fury,"2025-07-06 15:30:05"
"Jom Gabbar",23570,Divine,Protection,"2025-07-06 19:35:47"
"Jom Gabbar",23570,Lamagrà,Marksmanship,"2025-07-06 16:20:28"
"Jom Gabbar",23570,Littlebird,Marksmanship,"2025-07-06 17:24:23"
"Jom Gabbar",23570,Littlebird,Marksmanship,"2025-07-06 17:24:23"
"Larvae of the Great Worm",23557,Rannek,Swords,"2025-07-06 16:20:02"
"Larvae of the Great Worm",23557,Rannek,Swords,"2025-07-06 16:20:02"
"Larvae of the Great Worm",23557,Zaiterlo,Fury,"2025-07-06 15:59:32"
"Legplates of Blazing Light",21667,Constant,Holy,"2025-07-06 15:51:56"
"Legplates of Blazing Light",21667,Sixto,Holy,"2025-07-06 19:22:05"
"Ouro's Intact Hide",20927,Trollkarl,Fire,"2025-07-06 19:26:51"
"Qiraji Bindings of Command",20928,Shirley,Protection,"2025-07-06 18:47:27"
"Qiraji Bindings of Command",20928,Stridaren,Fury,"2025-07-06 19:00:46"
"Qiraji Bindings of Dominance",20932,Highlordbane,Holy,"2025-07-06 19:20:05"
"Qiraji Execution Bracers",21602,Skoomael,Restoration,"2025-07-06 19:26:01"
"Ring of the Godslayer",21596,Mf,Daggers,"2025-07-06 19:29:39"
"Ring of the Martyr",21620,Highlordbane,Holy,"2025-07-06 19:20:05"
"Ring of the Martyr",21620,Sixto,Holy,"2025-07-06 19:22:05"
"Ring of the Qiraji Fury",21677,Milshunter,Marksmanship,"2025-07-06 19:09:08"
"Sartura's Might",21666,Yulefuel,Discipline,"2025-07-06 15:17:25"
"Scepter of the False Prophet",21839,Datsik,Holy,"2025-07-06 18:58:44"
"Scepter of the False Prophet",21839,Dreschflegel,Holy,"2025-07-06 17:43:02"
"Silithid Claw",21673,Lamagrà,Marksmanship,"2025-07-06 16:20:28"
"Vek'lor's Gloves of Devastation",21599,Saelynn,Marksmanship,"2025-07-06 18:10:39"
"Vek'nilash's Circlet",20926,Filbyter,Fire,"2025-07-06 19:29:42"
"Vek'nilash's Circlet",20926,Trollkarl,Fire,"2025-07-06 19:26:51"
