Item,ItemId,Name,Class,Spec,Date
"Amulet of Vek'nilash",21608,Froxy,Mage,Fire,"2025-07-13 19:38:54"
"Amulet of Vek'nilash",21608,Nixie,Warlock,"DS Ruin","2025-07-13 17:02:28"
"Ancient Qiraji Ripper",21650,Farlopo,Warrior,Fury,"2025-07-13 19:25:06"
"Ancient Qiraji Ripper",21650,Lillkungs,Warrior,Fury,"2025-07-13 18:10:27"
"Ancient Qiraji Ripper",21650,Selenax,Rogue,Swords,"2025-07-13 19:44:34"
"Ancient Qiraji Ripper",21650,Selenax,Rogue,Swords,"2025-07-13 19:44:34"
"Badge of the Swarmguard",21670,Bruceli,Warrior,Fury,"2025-07-13 16:27:52"
"Badge of the Swarmguard",21670,Divine,Warrior,Protection,"2025-07-13 19:54:36"
"Barbed Choker",21664,Milshunter,Hunter,Marksmanship,"2025-07-13 18:50:50"
"Belt of Never-ending Agony",21586,Krits,Rogue,Swords,"2025-07-13 19:07:41"
"Belt of Never-ending Agony",21586,Minetkomat,Rogue,Daggers,"2025-07-13 17:14:20"
"Boots of the Fallen Hero",21688,Shirley,Warrior,Protection,"2025-07-13 19:34:39"
"Bracelets of Royal Redemption",21604,Mornie,Priest,Discipline,"2025-07-13 16:32:41"
"Bracelets of Royal Redemption",21604,Mornie,Priest,Discipline,"2025-07-13 16:32:41"
"Breastplate of Annihilation",21814,Farlopo,Warrior,Fury,"2025-07-13 19:25:06"
"Breastplate of Annihilation",21814,Iconica,Warrior,Fury,"2025-07-13 19:35:05"
"Carapace of the Old God",20929,Constant,Paladin,Holy,"2025-07-13 18:19:34"
"Cloak of Clarity",21583,Gwilliam,Priest,Holy,"2025-07-13 16:54:38"
"Cloak of Clarity",21583,Maruan,Priest,Discipline,"2025-07-13 19:10:10"
"Cloak of Clarity",21583,Mezz,Druid,Restoration,"2025-07-13 19:27:47"
"Cloak of Concentrated Hatred",21701,Krits,Rogue,Swords,"2025-07-13 19:07:41"
"Cloak of the Devoured",22731,Snotspat,Warlock,"DS Ruin","2025-07-13 19:02:28"
"Dark Edge of Insanity",21134,Frozenwarr,Warrior,Fury,"2025-07-13 19:39:33"
"Dark Edge of Insanity",21134,Iconica,Warrior,Fury,"2025-07-13 19:35:05"
"Dark Storm Gauntlets",21585,Bullexd,Warlock,"DS Ruin","2025-07-13 17:18:28"
"Dark Storm Gauntlets",21585,Caesartje,Mage,Fire,"2025-07-13 19:06:51"
"Dark Storm Gauntlets",21585,Nixie,Warlock,"DS Ruin","2025-07-13 17:02:28"
"Dark Storm Gauntlets",21585,Snotspat,Warlock,"DS Ruin","2025-07-13 19:02:28"
"Death's Sting",21126,Mf,Rogue,Daggers,"2025-07-13 19:47:54"
"Death's Sting",21126,Minetkomat,Rogue,Daggers,"2025-07-13 17:14:20"
"Don Rigoberto's Lost Hat",21615,Constant,Paladin,Holy,"2025-07-13 18:19:34"
"Don Rigoberto's Lost Hat",21615,Mezz,Druid,Restoration,"2025-07-13 19:27:47"
"Eye of C'Thun",21221,Eweewew,Warrior,Fury,"2025-07-13 18:02:27"
"Eye of C'Thun",21221,Froxy,Mage,Fire,"2025-07-13 19:38:54"
