Item,ItemId,Name,Class,Date
"Amulet of Vek'nilash",21608,Gangrecoeur,Warlock,"2025-07-27 11:47:58"
"Ancient Qiraji Ripper",21650,Farlopo,Warrior,"2025-07-27 19:15:46"
"Badge of the Swarmguard",21670,Divine,Warrior,"2025-07-27 19:39:48"
"Badge of the Swarmguard",21670,Zimligimli,Warrior,"2025-07-27 17:22:54"
"Badge of the Swarmguard",21670,Zimligimli,Warrior,"2025-07-27 17:22:54"
"Barbed Choker",21664,Bruceli,Warrior,"2025-07-27 17:51:20"
"Barbed Choker",21664,Frozenwarr,Warrior,"2025-07-27 19:27:27"
"Barbed Choker",21664,Milshunter,Hunter,"2025-07-27 19:16:22"
"Belt of Never-ending Agony",21586,Minetkomat,Rogue,"2025-07-27 11:42:31"
"Belt of Never-ending Agony",21586,Saelynn,Hunter,"2025-07-27 12:38:53"
"Belt of Never-ending Agony",21586,Stridaren,Warrior,"2025-07-27 18:15:38"
"Bracelets of Royal Redemption",21604,Mornie,Priest,"2025-07-27 12:03:58"
"Bracelets of Royal Redemption",21604,Mornie,Priest,"2025-07-27 12:03:58"
"Bracelets of Royal Redemption",21604,Vallon,Priest,"2025-07-27 12:47:56"
"Bracelets of Royal Redemption",21604,Vallon,Priest,"2025-07-27 12:47:56"
"Breastplate of Annihilation",21814,Farlopo,Warrior,"2025-07-27 19:15:46"
"Carapace of the Old God",20929,Birkler,Warrior,"2025-07-27 17:54:57"
"Cloak of Clarity",21583,Mezz,Druid,"2025-07-27 19:32:50"
"Cloak of Clarity",21583,Yulefuel,Priest,"2025-07-27 19:35:38"
"Cloak of Concentrated Hatred",21701,Krits,Rogue,"2025-07-27 13:14:44"
"Cloak of Concentrated Hatred",21701,Krits,Rogue,"2025-07-27 13:14:44"
"Cloak of the Devoured",22731,Michalion,Priest,"2025-07-27 15:34:44"
"Cloak of the Devoured",22731,Michalion,Priest,"2025-07-27 15:34:44"
"Dark Edge of Insanity",21134,Shadowtelios,Warrior,"2025-07-27 19:22:49"
"Dark Edge of Insanity",21134,Shadowtelios,Warrior,"2025-07-27 19:22:49"
"Dark Storm Gauntlets",21585,Albidus,Mage,"2025-07-27 18:10:05"
"Dark Storm Gauntlets",21585,Albidus,Mage,"2025-07-27 18:10:05"
"Dark Storm Gauntlets",21585,Caesartje,Mage,"2025-07-27 19:37:57"
"Dark Storm Gauntlets",21585,Caesartje,Mage,"2025-07-27 19:37:57"
"Dark Storm Gauntlets",21585,Snotspat,Warlock,"2025-07-27 18:59:28"
"Dark Storm Gauntlets",21585,Snotspat,Warlock,"2025-07-27 18:59:28"
"Death's Sting",21126,Mf,Rogue,"2025-07-27 18:59:10"
"Death's Sting",21126,Minetkomat,Rogue,"2025-07-27 11:42:31"
"Eye of C'Thun",21221,Filbyter,Mage,"2025-07-27 19:19:00"
"Eye of C'Thun",21221,Sandomin,Paladin,"2025-07-27 12:01:16"
"Eye of C'Thun",21221,Sandomin,Paladin,"2025-07-27 12:01:16"
"Eye of C'Thun",21221,Utzemekanism,Mage,"2025-07-27 19:18:16"
"Eye of C'Thun",21221,Vancleef,Rogue,"2025-07-27 15:14:53"
"Eyestalk Waist Cord",22730,Filbyter,Mage,"2025-07-27 19:19:00"
"Eyestalk Waist Cord",22730,Flaggermus,Warlock,"2025-07-27 17:38:02"
"Eyestalk Waist Cord",22730,Flaggermus,Warlock,"2025-07-27 17:38:02"
"Eyestalk Waist Cord",22730,Poorpower,Mage,"2025-07-27 19:31:02"
"Gauntlets of Annihilation",21581,Fjordur,Paladin,"2025-07-27 19:10:46"
"Gauntlets of Annihilation",21581,Frozenwarr,Warrior,"2025-07-27 19:27:27"
"Gauntlets of Steadfast Determination",21674,Deliciouss,Warrior,"2025-07-27 17:43:17"
"Gauntlets of Steadfast Determination",21674,Deliciouss,Warrior,"2025-07-27 17:43:17"
"Grasp of the Old God",21582,Yulefuel,Priest,"2025-07-27 19:35:38"
"Hive Defiler Wristguards",21618,Bruceli,Warrior,"2025-07-27 17:51:20"
"Hive Defiler Wristguards",21618,Eirik,Warrior,"2025-07-27 19:17:44"
"Hive Defiler Wristguards",21618,Symm,Warrior,"2025-07-27 19:42:44"
"Idol of Health",22399,Skoomael,Druid,"2025-07-27 19:33:10"
"Imperial Qiraji Regalia",21237,Poorpower,Mage,"2025-07-27 19:31:02"
"Imperial Qiraji Regalia",21237,Raskous,Warlock,"2025-07-27 14:01:56"
"Imperial Qiraji Regalia",21237,Raskous,Warlock,"2025-07-27 14:01:56"
"Jom Gabbar",23570,Divine,Warrior,"2025-07-27 19:39:48"
"Jom Gabbar",23570,Lamagrà,Hunter,"2025-07-27 11:21:10"
"Jom Gabbar",23570,Lamagrà,Hunter,"2025-07-27 11:21:10"
"Jom Gabbar",23570,Littlebird,Hunter,"2025-07-27 13:44:25"
"Jom Gabbar",23570,Littlebird,Hunter,"2025-07-27 13:44:25"
"Jom Gabbar",23570,Vancleef,Rogue,"2025-07-27 15:14:53"
"Larvae of the Great Worm",23557,Rannek,Rogue,"2025-07-27 19:20:56"
"Larvae of the Great Worm",23557,Rannek,Rogue,"2025-07-27 19:20:56"
"Legplates of Blazing Light",21667,Dreschflegel,Paladin,"2025-07-27 11:53:59"
"Legplates of Blazing Light",21667,Sixto,Paladin,"2025-07-27 19:21:08"
"Ouro's Intact Hide",20927,Birkler,Warrior,"2025-07-27 17:54:57"
"Qiraji Bindings of Command",20928,Stridaren,Warrior,"2025-07-27 18:15:38"
"Qiraji Bindings of Dominance",20932,Utzemekanism,Mage,"2025-07-27 19:18:16"
"Ring of the Godslayer",21596,Eirik,Warrior,"2025-07-27 19:17:44"
"Ring of the Godslayer",21596,Mf,Rogue,"2025-07-27 18:59:10"
"Ring of the Godslayer",21596,Symm,Warrior,"2025-07-27 19:42:44"
"Ring of the Martyr",21620,Sixto,Paladin,"2025-07-27 19:21:08"
"Ring of the Qiraji Fury",21677,Milshunter,Hunter,"2025-07-27 19:16:22"
"Royal Scepter of Vek'lor",21597,Gangrecoeur,Warlock,"2025-07-27 11:47:58"
"Scaled Sand Reaver Leggings",21651,Saelynn,Hunter,"2025-07-27 12:38:53"
"Scarab Brooch",21625,Skoomael,Druid,"2025-07-27 19:33:10"
"Scepter of the False Prophet",21839,Dreschflegel,Paladin,"2025-07-27 11:53:59"
"Scepter of the False Prophet",21839,Mezz,Druid,"2025-07-27 19:32:50"
"Shard of the Fallen Star",21891,Fjordur,Paladin,"2025-07-27 19:10:46"
"Shard of the Fallen Star",21891,Selenax,Rogue,"2025-07-27 19:37:30"
"Shard of the Fallen Star",21891,Selenax,Rogue,"2025-07-27 19:37:30"
