Item,ItemId,Name,Date
"Amulet of Vek'nilash",21608,Snotspat,"2025-10-12 19:08:49"
"Ancient Qiraji Ripper",21650,Drimpen,"2025-10-12 12:48:23"
"Ancient Qiraji Ripper",21650,Farlopo,"2025-10-12 18:34:13"
"Ancient Qiraji Ripper",21650,Fletch,"2025-10-12 19:10:25"
"Ancient Qiraji Ripper",21650,Whorm,"2025-10-12 17:05:08"
"Badge of the Swarmguard",21670,Farlopo,"2025-10-12 18:34:13"
"Badge of the Swarmguard",21670,Lamagrà,"2025-10-12 11:35:35"
"Badge of the Swarmguard",21670,Meliva,"2025-10-12 19:46:34"
"Badge of the Swarmguard",21670,Meliva,"2025-10-12 19:46:34"
"Badge of the Swarmguard",21670,Thanx,"2025-10-12 17:58:44"
"Badge of the Swarmguard",21670,Tibies,"2025-10-12 16:31:08"
"Badge of the Swarmguard",21670,Zaiterlo,"2025-10-12 12:18:53"
"Barbed Choker",21664,Thanx,"2025-10-12 17:58:44"
"Belt of Never-ending Agony",21586,Skoomael,"2025-10-12 12:27:18"
"Boots of the Fallen Hero",21688,Alagar,"2025-10-12 18:38:39"
"Bracelets of Royal Redemption",21604,Mornie,"2025-10-12 11:55:18"
"Bracelets of Royal Redemption",21604,Mornie,"2025-10-12 11:55:18"
"Bracelets of Royal Redemption",21604,Vallon,"2025-10-12 11:59:11"
"Bracelets of Royal Redemption",21604,Vallon,"2025-10-12 11:59:11"
"Bracelets of Royal Redemption",21604,Yulefuel,"2025-10-12 19:41:49"
"Cloak of Clarity",21583,Maruan,"2025-10-12 15:48:29"
"Cloak of Concentrated Hatred",21701,Minetkomat,"2025-10-12 12:51:57"
"Cloak of the Devoured",22731,Michalion,"2025-10-12 15:33:49"
"Cloak of the Devoured",22731,Michalion,"2025-10-12 15:33:49"
"Dark Edge of Insanity",21134,Shadowtelios,"2025-10-12 19:40:37"
"Dark Storm Gauntlets",21585,Caesartje,"2025-10-12 13:43:07"
"Dark Storm Gauntlets",21585,Caesartje,"2025-10-12 13:43:07"
"Dark Storm Gauntlets",21585,Paiyro,"2025-10-12 15:44:03"
"Death's Sting",21126,Gordman,"2025-10-12 17:56:05"
"Death's Sting",21126,Minetkomat,"2025-10-12 12:51:57"
"Don Rigoberto's Lost Hat",21615,Mezz,"2025-10-12 19:25:26"
"Don Rigoberto's Lost Hat",21615,Tizanidin,"2025-10-12 16:33:43"
"Eye of C'Thun",21221,Poorpower,"2025-10-12 13:03:58"
"Eye of C'Thun",21221,Raskous,"2025-10-12 19:41:35"
"Eye of C'Thun",21221,Tizanidin,"2025-10-12 16:33:43"
"Eyestalk Waist Cord",22730,Paiyro,"2025-10-12 15:44:03"
"Gauntlets of Annihilation",21581,Fjordur,"2025-10-12 12:16:08"
"Gauntlets of Annihilation",21581,Tibies,"2025-10-12 16:31:08"
"Gauntlets of Steadfast Determination",21674,Olibanum,"2025-10-12 13:50:22"
"Gloves of Enforcement",21672,Skoomael,"2025-10-12 12:27:18"
"Grasp of the Old God",21582,Melancholia,"2025-10-12 19:12:01"
"Grasp of the Old God",21582,Melancholia,"2025-10-12 19:12:01"
"Idol of Night",20875,Symm,"2025-10-12 19:41:39"
"Idol of the Sun",20874,Symm,"2025-10-12 19:41:39"
"Imperial Qiraji Armaments",21232,Gordman,"2025-10-12 17:56:05"
"Imperial Qiraji Regalia",21237,Poorpower,"2025-10-12 13:03:58"
"Imperial Qiraji Regalia",21237,Raskous,"2025-10-12 19:41:35"
"Imperial Qiraji Regalia",21237,Utzemekanism,"2025-10-12 18:46:17"
"Jom Gabbar",23570,Elfi,"2025-10-12 17:39:22"
"Jom Gabbar",23570,Mssingno,"2025-10-12 12:52:54"
"Jom Gabbar",23570,Willythepimp,"2025-10-12 14:09:04"
"Jom Gabbar",23570,Zaiterlo,"2025-10-12 12:18:53"
"Larvae of the Great Worm",23557,Alagar,"2025-10-12 18:38:39"
"Legplates of Blazing Light",21667,Amima,"2025-10-12 19:26:01"
"Legplates of Blazing Light",21667,Sixto,"2025-10-12 12:44:52"
"Mark of C'Thun",22732,Olibanum,"2025-10-12 13:50:22"
"Ouro's Intact Hide",20927,Fletch,"2025-10-12 19:10:25"
"Qiraji Bindings of Dominance",20932,Constant,"2025-10-12 15:22:30"
"Ring of the Godslayer",21596,Aminth,"2025-10-12 16:48:07"
"Ring of the Godslayer",21596,Aminth,"2025-10-12 16:48:07"
"Ring of the Godslayer",21596,Elfi,"2025-10-12 17:39:22"
"Ring of the Godslayer",21596,Mssingno,"2025-10-12 12:52:54"
"Ring of the Godslayer",21596,Willythepimp,"2025-10-12 14:09:04"
"Ring of the Martyr",21620,Yulefuel,"2025-10-12 19:41:49"
"Ring of the Qiraji Fury",21677,Whorm,"2025-10-12 17:05:08"
"Robes of the Guardian Saint",21663,Amima,"2025-10-12 19:26:01"
"Robes of the Guardian Saint",21663,Constant,"2025-10-12 15:22:30"
"Royal Scepter of Vek'lor",21597,Utzemekanism,"2025-10-12 18:46:17"
"Scepter of the False Prophet",21839,Maruan,"2025-10-12 15:48:29"
"Scepter of the False Prophet",21839,Mezz,"2025-10-12 19:25:26"
"Scepter of the False Prophet",21839,Sixto,"2025-10-12 12:44:52"
"Shard of the Fallen Star",21891,Fjordur,"2025-10-12 12:16:08"
"Shard of the Fallen Star",21891,Selenax,"2025-10-12 16:34:34"
"Shard of the Fallen Star",21891,Selenax,"2025-10-12 16:34:34"
"Shard of the Fallen Star",21891,Shadowtelios,"2025-10-12 19:40:37"
"Sharpened Silithid Femur",21622,Snotspat,"2025-10-12 19:08:49"
"Silithid Claw",21673,Lamagrà,"2025-10-12 11:35:35"
"Vek'nilash's Circlet",20926,Drimpen,"2025-10-12 12:48:23"
