itemName, itemId, fromDate
"Onslaught Girdle", 19137, "2025-07-06"
"Quick Strike Ring", 18821, "2025-07-06"
"Talisman of Ephemeral Power", 18820, "2025-07-06"
"Neltharion's Tear", 19379, "2025-07-06"
"Drake Fang Talisman", 19406, "2025-07-06"
"Rejuvenating Gem", 19395, "2025-07-06"
"Ashjre'thul, Crossbow of Smiting", 19361, "2025-07-06"
"Chromatic Boots", 19387, "2025-07-06"
"Prestor's Talisman of Connivery", 19377, "2025-07-26"
"Pure Elementium Band", 19382, "2025-09-01"
"Boots of Pure Thought", 19437, "2025-10-29"
"Empowered Leggings", 19385, "2025-10-29"
