Item,ItemId,Name,Date
"Archimtiros' Ring of Reckoning",19376,Elfi,"2025-08-29 18:59:08"
"Ashjre'thul, Crossbow of Smiting",19361,Anvil,"2025-08-29 19:07:43"
"Ashjre'thul, Crossbow of Smiting",19361,Draxo,"2025-08-29 19:35:25"
"Ashjre'thul, Crossbow of Smiting",19361,Omershoots,"2025-08-29 18:02:28"
"Ashkandi, Greatsword of the Brotherhood",19364,Draxo,"2025-08-29 19:35:25"
"Bloodfang Belt",16910,Gordman,"2025-08-29 17:31:04"
"Boots of Pure Thought",19437,Gwilliam,"2025-08-29 18:04:38"
"Boots of Pure Thought",19437,Mezz,"2025-08-29 19:10:10"
"Chromatic Boots",19387,Ashbringerr,"2025-08-29 18:15:06"
"Chromatic Boots",19387,Bruceli,"2025-08-29 19:27:15"
"Chromatic Boots",19387,Divinê,"2025-08-29 19:52:03"
"Chromatic Boots",19387,Farlopo,"2025-08-29 19:21:42"
"Chromatic Boots",19387,Lillkungs,"2025-08-29 18:50:06"
"Chromatic Boots",19387,Lillkungs,"2025-08-29 18:50:06"
"Chromatically Tempered Sword",19352,Fletch,"2025-08-29 19:36:12"
"Circle of Applied Force",19432,Divinê,"2025-08-29 19:52:03"
"Circle of Applied Force",19432,Farlopo,"2025-08-29 19:21:42"
"Claw of the Black Drake",19365,Fletch,"2025-08-29 19:36:12"
"Cloak of Draconic Might",19436,Gordman,"2025-08-29 17:31:04"
"Crul'shorukh, Edge of Chaos",19363,Shadowtelios,"2025-08-29 19:44:10"
"Dragonbreath Hand Cannon",19368,Aminth,"2025-08-29 17:51:44"
"Dragonbreath Hand Cannon",19368,Aminth,"2025-08-29 17:51:44"
"Dragonstalker's Breastplate",16942,Anvil,"2025-08-29 19:07:43"
"Dragonstalker's Breastplate",16942,Omershoots,"2025-08-29 18:02:28"
"Drake Fang Talisman",19406,Bruceli,"2025-08-29 19:27:15"
"Drake Fang Talisman",19406,Minetkomat,"2025-08-29 16:22:46"
"Drake Fang Talisman",19406,Minetkomat,"2025-08-29 16:22:46"
"Drake Fang Talisman",19406,Rannek,"2025-08-29 15:24:59"
"Drake Fang Talisman",19406,Rannek,"2025-08-29 15:24:59"
"Drake Fang Talisman",19406,Rokit,"2025-08-29 19:34:27"
"Drake Fang Talisman",19406,Rokit,"2025-08-29 19:34:27"
"Drake Fang Talisman",19406,Selenax,"2025-08-29 16:49:47"
"Drake Fang Talisman",19406,Selenax,"2025-08-29 16:49:47"
"Drake Fang Talisman",19406,Skoomael,"2025-08-29 19:20:55"
"Drake Fang Talisman",19406,Symm,"2025-08-29 18:09:07"
"Drake Fang Talisman",19406,Symm,"2025-08-29 18:09:07"
"Drake Fang Talisman",19406,Zimligimli,"2025-08-29 19:04:06"
"Drake Fang Talisman",19406,Zimligimli,"2025-08-29 19:04:06"
"Drake Talon Pauldrons",19394,Nandor,"2025-08-29 19:35:30"
"Elementium Ore",18562,Deliciouss,"2025-08-29 17:12:54"
"Elementium Ore",18562,Deliciouss,"2025-08-29 17:12:54"
"Elementium Ore",18562,Lamagrà,"2025-08-29 15:25:07"
"Elementium Ore",18562,Lamagrà,"2025-08-29 15:25:07"
"Elementium Ore",18562,Melancholia,"2025-08-29 19:33:20"
"Elementium Ore",18562,Melancholia,"2025-08-29 19:33:20"
"Elementium Ore",18562,Shadowtelios,"2025-08-29 19:44:10"
"Empowered Leggings",19385,Sengemidd,"2025-08-29 18:20:56"
"Empowered Leggings",19385,Sixto,"2025-08-29 16:54:56"
"Judgement Gauntlets",16956,Thoreon,"2025-08-29 19:06:48"
"Lok'amir il Romathis",19360,Michalion,"2025-08-29 17:38:32"
"Lok'amir il Romathis",19360,Michalion,"2025-08-29 17:38:32"
"Maladath, Runed Blade of the Black Flight",19351,Nandor,"2025-08-29 19:35:30"
"Mantle of the Blackwing Cabal",19370,Motor,"2025-08-29 17:38:10"
"Mish'undare, Circlet of the Mind Flayer",19375,Bingles,"2025-08-29 19:36:37"
"Mish'undare, Circlet of the Mind Flayer",19375,Motor,"2025-08-29 17:38:10"
"Neltharion's Tear",19379,Poorpower,"2025-08-29 19:39:07"
"Neltharion's Tear",19379,Raskous,"2025-08-29 17:24:29"
"Neltharion's Tear",19379,Raskous,"2025-08-29 17:24:29"
"Neltharion's Tear",19379,Soulchained,"2025-08-29 19:21:39"
"Nemesis Robes",16931,Snorpan,"2025-08-29 19:01:32"
"Nemesis Spaulders",16932,Snorpan,"2025-08-29 19:01:32"
"Prestor's Talisman of Connivery",19377,Elfi,"2025-08-29 18:59:08"
"Prestor's Talisman of Connivery",19377,Mf,"2025-08-29 19:08:16"
"Prestor's Talisman of Connivery",19377,Mf,"2025-08-29 19:08:16"
"Prestor's Talisman of Connivery",19377,Skoomael,"2025-08-29 19:20:55"
"Pure Elementium Band",19382,Gwilliam,"2025-08-29 18:04:38"
"Red Dragonscale Protector",19348,Sengemidd,"2025-08-29 18:20:56"
"Rejuvenating Gem",19395,Highlordbane,"2025-08-29 15:54:58"
"Rejuvenating Gem",19395,Highlordbane,"2025-08-29 15:54:58"
"Rejuvenating Gem",19395,Maruan,"2025-08-29 19:01:46"
"Rejuvenating Gem",19395,Sixto,"2025-08-29 16:54:56"
"Rejuvenating Gem",19395,Thoreon,"2025-08-29 19:06:48"
"Robes of Transcendence",16923,Holdhur,"2025-08-29 19:23:32"
"Shroud of Pure Thought",19430,Holdhur,"2025-08-29 19:23:32"
"Shroud of Pure Thought",19430,Maruan,"2025-08-29 19:01:46"
"Shroud of Pure Thought",19430,Mezz,"2025-08-29 19:10:10"
"Staff of the Shadow Flame",19356,Bingles,"2025-08-29 19:36:37"
"Staff of the Shadow Flame",19356,Poorpower,"2025-08-29 19:39:07"
"Staff of the Shadow Flame",19356,Soulchained,"2025-08-29 19:21:39"
