Item,ItemId,Name,Date
"Angelista's Grasp",19388,Giggles,"2025-11-14 03:56:56"
"Ashjre'thul, Crossbow of Smiting",19361,Mssingno,"2025-11-13 21:47:29"
"Ashjre'thul, Crossbow of Smiting",19361,Mssingno,"2025-11-13 21:47:29"
"Ashjre'thul, Crossbow of Smiting",19361,Omershoots,"2025-11-14 19:01:43"
"Ashjre'thul, Crossbow of Smiting",19361,Zbleh,"2025-11-14 17:00:47"
"Band of Forced Concentration",19403,Micahlion,"2025-11-13 21:20:08"
"Band of Forced Concentration",19403,Raskous,"2025-11-14 14:29:57"
"Bloodfang Boots",16906,Anunaki,"2025-11-14 15:54:20"
"Bloodfang Chestpiece",16905,Anunaki,"2025-11-14 15:54:20"
"Boots of Pure Thought",19437,Mornie,"2025-11-13 21:15:59"
"Boots of Pure Thought",19437,Mornie,"2025-11-13 21:15:59"
"Boots of Pure Thought",19437,Vallon,"2025-11-14 12:29:34"
"Bracers of Arcane Accuracy",19374,Raskous,"2025-11-14 14:29:57"
"Chromatic Boots",19387,Alagar,"2025-11-14 19:34:49"
"Chromatic Boots",19387,Birkler,"2025-11-13 21:31:12"
"Chromatic Boots",19387,Boomer,"2025-11-13 21:57:57"
"Chromatic Boots",19387,Boomer,"2025-11-13 21:57:57"
"Chromatic Boots",19387,Bruceli,"2025-11-13 23:19:00"
"Chromatic Boots",19387,Dumbdumb,"2025-11-14 16:48:58"
"Chromatic Boots",19387,Lillkungs,"2025-11-14 18:09:19"
"Chromatic Boots",19387,Rahkawarr,"2025-11-14 18:27:21"
"Chromatic Boots",19387,Zimligimli,"2025-11-13 21:20:04"
"Chromatic Boots",19387,Zimligimli,"2025-11-13 21:20:04"
"Chromatically Tempered Sword",19352,Farlomaker,"2025-11-14 17:59:30"
"Chromatically Tempered Sword",19352,Fletch,"2025-11-14 19:06:41"
"Chromatically Tempered Sword",19352,Tripplex,"2025-11-14 19:03:15"
"Circle of Applied Force",19432,Tochopolvo,"2025-11-14 19:00:03"
"Cloak of Firemaw",19398,Thijn,"2025-11-14 07:07:54"
"Crul'shorukh, Edge of Chaos",19363,Farlomaker,"2025-11-14 17:59:30"
"Crul'shorukh, Edge of Chaos",19363,Whorm,"2025-11-14 19:31:18"
"Dragonstalker's Bracers",16935,Omershoots,"2025-11-14 19:01:43"
"Dragonstalker's Bracers",16935,Ulthras,"2025-11-14 18:42:50"
"Dragonstalker's Breastplate",16942,Ulthras,"2025-11-14 18:42:50"
"Dragonstalker's Greaves",16941,Zbleh,"2025-11-14 17:00:47"
"Drake Fang Talisman",19406,Alagar,"2025-11-14 19:34:49"
"Drake Fang Talisman",19406,Birkler,"2025-11-13 21:31:12"
"Drake Fang Talisman",19406,Bruceli,"2025-11-13 23:19:00"
"Drake Fang Talisman",19406,Pälsarn,"2025-11-14 19:25:02"
"Drake Fang Talisman",19406,Pälsarn,"2025-11-14 19:25:02"
"Drake Fang Talisman",19406,Rahkawarr,"2025-11-14 18:27:21"
"Drake Talon Pauldrons",19394,Yulepunch,"2025-11-14 19:24:48"
"Elementium Ore",18562,Aminth,"2025-11-13 22:16:43"
"Elementium Ore",18562,Aminth,"2025-11-13 22:16:43"
"Elementium Ore",18562,Deliciouss,"2025-11-13 23:00:42"
"Elementium Ore",18562,Deliciouss,"2025-11-13 23:00:42"
"Elementium Reinforced Bulwark",19349,Dumbdumb,"2025-11-14 16:48:58"
"Empowered Leggings",19385,Vallon,"2025-11-14 12:29:34"
"Firemaw's Clutch",19400,Eldoren,"2025-11-14 19:24:43"
"Firemaw's Clutch",19400,Micahlion,"2025-11-13 21:20:08"
"Head of Nefarian",19003,Tochopolvo,"2025-11-14 19:00:03"
"Helm of Endless Rage",19372,Lillkungs,"2025-11-14 18:09:19"
"Helm of Endless Rage",19372,Whorm,"2025-11-14 19:31:18"
"Judgement Bindings",16951,Amima,"2025-11-13 22:44:39"
"Judgement Breastplate",16958,Manadar,"2025-11-14 19:33:52"
"Judgement Spaulders",16953,Manadar,"2025-11-14 19:33:52"
"Lifegiving Gem",19341,Yulepunch,"2025-11-14 19:24:48"
"Lok'amir il Romathis",19360,Amima,"2025-11-13 22:44:39"
"Lok'amir il Romathis",19360,Giggles,"2025-11-14 03:56:56"
"Lok'amir il Romathis",19360,Sucrette,"2025-11-14 18:28:41"
"Maladath, Runed Blade of the Black Flight",19351,Corvere,"2025-11-14 16:51:44"
"Maladath, Runed Blade of the Black Flight",19351,Fletch,"2025-11-14 19:06:41"
"Maladath, Runed Blade of the Black Flight",19351,Tripplex,"2025-11-14 19:03:15"
"Mish'undare, Circlet of the Mind Flayer",19375,Sucrette,"2025-11-14 18:28:41"
"Neltharion's Tear",19379,Eldoren,"2025-11-14 19:24:43"
"Neltharion's Tear",19379,Karathir,"2025-11-14 17:10:49"
"Neltharion's Tear",19379,Karathir,"2025-11-14 17:10:49"
"Neltharion's Tear",19379,Shadory,"2025-11-14 17:46:51"
"Neltharion's Tear",19379,Shadory,"2025-11-14 17:46:51"
"Neltharion's Tear",19379,Soulchained,"2025-11-14 19:24:23"
"Neltharion's Tear",19379,Soulchained,"2025-11-14 19:24:23"
"Prestor's Talisman of Connivery",19377,Corvere,"2025-11-14 16:51:44"
"Prestor's Talisman of Connivery",19377,Thijn,"2025-11-14 07:07:54"
"Pure Elementium Band",19382,Holdhur,"2025-11-14 19:31:01"
"Pure Elementium Band",19382,Ophey,"2025-11-14 10:36:31"
"Pure Elementium Band",19382,Ophey,"2025-11-14 10:36:31"
"Rejuvenating Gem",19395,Eredoor,"2025-11-13 21:51:06"
"Rejuvenating Gem",19395,Eredoor,"2025-11-13 21:51:06"
"Rejuvenating Gem",19395,Sixto,"2025-11-14 12:46:42"
"Rejuvenating Gem",19395,Sixto,"2025-11-14 12:46:42"
"Robes of Transcendence",16923,Holdhur,"2025-11-14 19:31:01"
