Item,ItemId,Name,Plus,Date
"Ashjre'thul, Crossbow of Smiting",19361,Mssingno,0,"2025-12-05 16:21:25"
"Ashjre'thul, Crossbow of Smiting",19361,Mssingno,0,"2025-12-05 16:21:25"
"Ashjre'thul, Crossbow of Smiting",19361,Zbleh,0,"2025-12-05 19:23:16"
"Boots of Pure Thought",19437,Manadar,0,"2025-12-05 19:30:53"
"Boots of Pure Thought",19437,Mezz,0,"2025-12-05 18:59:13"
"Boots of Pure Thought",19437,Mornie,0,"2025-12-05 15:07:28"
"Boots of the Shadow Flame",19381,Mezz,0,"2025-12-05 18:59:13"
"Chromatic Boots",19387,Boomer,0,"2025-12-05 17:19:49"
"Chromatic Boots",19387,Boomer,0,"2025-12-05 17:19:49"
"Chromatic Boots",19387,Bruceli,0,"2025-12-05 17:56:51"
"Chromatic Boots",19387,Bruceli,0,"2025-12-05 17:56:51"
"Chromatic Boots",19387,Symm,0,"2025-12-05 12:21:13"
"Chromatic Boots",19387,Symm,0,"2025-12-05 12:21:13"
"Chromatic Boots",19387,Teliaa,0,"2025-12-05 19:38:36"
"Chromatic Boots",19387,Tochopolvo,0,"2025-12-05 17:11:57"
"Chromatic Boots",19387,Zimligimli,0,"2025-12-05 19:11:54"
"Chromatic Boots",19387,Zimligimli,0,"2025-12-05 19:11:54"
"Chromatically Tempered Sword",19352,Aminth,0,"2025-12-05 11:32:36"
"Chromatically Tempered Sword",19352,Aminth,0,"2025-12-05 11:32:36"
"Chromatically Tempered Sword",19352,Farlomaker,0,"2025-12-05 19:15:50"
"Chromatically Tempered Sword",19352,Fletch,0,"2025-12-05 18:59:58"
"Chromatically Tempered Sword",19352,Fletch,0,"2025-12-05 18:59:58"
"Chromatically Tempered Sword",19352,Insomnyia,0,"2025-12-05 19:05:29"
"Chromatically Tempered Sword",19352,Terrora,0,"2025-12-05 17:49:06"
"Chromatically Tempered Sword",19352,Terrora,0,"2025-12-05 17:49:06"
"Crul'shorukh, Edge of Chaos",19363,Farlomaker,0,"2025-12-05 19:15:50"
"Dragonstalker's Greaves",16941,Zbleh,0,"2025-12-05 19:23:16"
"Drake Fang Talisman",19406,Gordman,0,"2025-12-05 15:27:11"
"Drake Fang Talisman",19406,Gordman,0,"2025-12-05 15:27:11"
"Drake Fang Talisman",19406,Tochopolvo,0,"2025-12-05 17:11:57"
"Drake Fang Talisman",19406,Willythepimp,0,"2025-12-05 12:39:31"
"Elementium Ore",18562,Deliciouss,0,"2025-12-05 16:33:55"
"Elementium Ore",18562,Deliciouss,0,"2025-12-05 16:33:55"
"Empowered Leggings",19385,Mornie,0,"2025-12-05 15:07:28"
"Empowered Leggings",19385,Yulefuel,0,"2025-12-05 18:43:46"
"Empowered Leggings",19385,Yulefuel,0,"2025-12-05 18:43:46"
"Firemaw's Clutch",19400,Micahlion,0,"2025-12-05 14:28:39"
"Handguards of Transcendence",16920,Giggles,0,"2025-12-05 15:26:15"
"Head of Nefarian",19003,Abdalla,0,"2025-12-05 17:51:36"
