Item,ItemId,Name,Date
"Ancient Petrified Leaf",18703,Zoiana,"2026-05-29 16:14:44"
"Azuresong Mageblade",17103,Mikhalion,"2026-05-29 17:08:26"
"Band of Accuria",17063,Anunaki,"2026-05-27 14:43:45"
"Band of Accuria",17063,Disponenten,"2026-05-29 19:16:38"
"Band of Accuria",17063,Nostalgia,"2026-05-29 19:13:58"
"Band of Accuria",17063,Pyroglade,"2026-05-27 21:13:14"
"Band of Accuria",17063,Saerelyn,"2026-05-29 19:25:13"
"Band of Accuria",17063,Terrora,"2026-05-27 15:56:14"
"Brutality Blade",18832,Fluffycatto,"2026-05-27 16:01:16"
"Brutality Blade",18832,Haawtxd,"2026-05-29 20:32:18"
"Brutality Blade",18832,Ruterkung,"2026-05-27 23:28:23"
"Cauterizing Band",19140,Artillery,"2026-05-29 19:28:15"
"Cauterizing Band",19140,Babiloniap,"2026-05-28 16:37:11"
"Cauterizing Band",19140,Elozia,"2026-05-29 19:26:00"
"Cauterizing Band",19140,Elozia,"2026-05-29 19:26:00"
"Cauterizing Band",19140,Favorite,"2026-05-29 12:17:30"
"Cauterizing Band",19140,Kristin,"2026-05-29 10:53:01"
"Cauterizing Band",19140,Mohg,"2026-05-28 13:46:26"
"Cauterizing Band",19140,Mohg,"2026-05-28 13:46:26"
"Cauterizing Band",19140,Repentina,"2026-05-29 19:22:26"
"Cauterizing Band",19140,Skwisgaar,"2026-05-29 19:57:00"
"Choker of the Fire Lord",18814,Marulock,"2026-05-29 20:36:33"
"Cloak of the Shrouded Mists",17102,Anunaki,"2026-05-27 14:43:45"
"Core Hound Tooth",18805,Mssingnø,"2026-05-29 19:15:18"
"Crown of Destruction",18817,Ruterkung,"2026-05-27 23:28:23"
"Dragonstalker's Legguards",16938,Nostalgia,"2026-05-29 19:13:58"
"Dragonstalker's Legguards",16938,Zoiana,"2026-05-29 16:14:44"
"Eye of Sulfuras",17204,Artillery,"2026-05-29 19:28:15"
"Eye of Sulfuras",17204,Schwabi,"2026-05-29 18:33:21"
"Eye of Sulfuras",17204,Theodeus,"2026-05-29 14:08:40"
"Fiery Core",17010,Birkler,"2026-05-29 20:39:53"
"Gloves of the Hypnotic Flame",18808,Dalaria,"2026-05-29 12:39:58"
"Leggings of Transcendence",16922,Babiloniap,"2026-05-28 16:37:11"
"Leggings of Transcendence",16922,Hoiga,"2026-05-27 17:54:47"
"Leggings of Transcendence",16922,Hoiga,"2026-05-27 17:54:47"
"Netherwind Pants",16915,Dalaria,"2026-05-29 12:39:58"
"Onslaught Girdle",19137,Disponenten,"2026-05-29 19:16:38"
"Onslaught Girdle",19137,Fatwhaleirl,"2026-05-29 18:40:40"
"Onslaught Girdle",19137,Mercîless,"2026-05-29 12:49:12"
"Onslaught Girdle",19137,Mercîless,"2026-05-29 12:49:12"
"Onslaught Girdle",19137,Mssingnø,"2026-05-29 19:15:18"
"Onslaught Girdle",19137,Theodeus,"2026-05-29 14:08:40"
"Pattern: Flarecore Wraps",18265,Birkler,"2026-05-29 20:39:53"
"Perdition's Blade",18816,Pyroglade,"2026-05-27 21:13:14"
"Plans: Elemental Sharpening Stone",18264,Tochopolvo,"2026-05-28 06:02:43"
"Quick Strike Ring",18821,Alanakos,"2026-05-29 19:05:45"
"Quick Strike Ring",18821,Alanakos,"2026-05-29 19:05:45"
"Quick Strike Ring",18821,Eïnherjar,"2026-05-29 08:22:39"
"Quick Strike Ring",18821,Eïnherjar,"2026-05-29 08:22:39"
"Quick Strike Ring",18821,Haawtxd,"2026-05-29 20:32:18"
"Quick Strike Ring",18821,Lillkungs,"2026-05-29 19:11:39"
"Quick Strike Ring",18821,Lillkungs,"2026-05-29 19:11:39"
"Quick Strike Ring",18821,Macharius,"2026-05-28 01:20:21"
"Quick Strike Ring",18821,Macharius,"2026-05-28 01:20:21"
