Item,ItemId,Name,Date
"Band of Unanswered Prayers",22939,Babiloniap,"2026-06-10 19:39:07"
"Band of Unnatural Forces",23038,Shilwa,"2026-06-10 18:47:59"
"Cloak of Suturing",22960,Yulefuel,"2026-06-10 19:41:29"
"Cloak of the Necropolis",23050,Vallon,"2026-06-10 17:09:01"
"Corrupted Ashbringer",22691,Macharius,"2026-06-10 19:40:40"
"Desecrated Circlet",22367,Lygeia,"2026-06-10 13:10:31"
"Desecrated Gloves",22371,Kristin,"2026-06-10 18:07:06"
"Desecrated Legguards",22359,Argive,"2026-06-10 19:28:16"
"Desecrated Robe",22351,Lygeia,"2026-06-10 13:10:31"
"Desecrated Tunic",22350,Mezz,"2026-06-10 19:27:55"
Doomfinger,22821,Lilleline,"2026-06-10 11:37:46"
"Eye of the Dead",23047,Amima,"2026-06-10 17:23:42"
"Eye of the Dead",23047,Holdhur,"2026-06-10 19:30:53"
"Frostfire Ring",23062,Caesartje,"2026-06-10 13:54:02"
"Girdle of the Mentor",23219,Disponenten,"2026-06-10 15:46:39"
"Girdle of the Mentor",23219,Groomz,"2026-06-10 12:22:57"
"Girdle of the Mentor",23219,Tsome,"2026-06-10 19:32:56"
"Gressil, Dawn of Ruin",23054,Corvere,"2026-06-10 18:33:53"
"Gressil, Dawn of Ruin",23054,Corvere,"2026-06-10 18:33:53"
"Gressil, Dawn of Ruin",23054,Farlopo,"2026-06-10 18:58:32"
"Gressil, Dawn of Ruin",23054,Farlopo,"2026-06-10 18:58:32"
"Gressil, Dawn of Ruin",23054,Rannek,"2026-06-10 11:15:57"
"Gressil, Dawn of Ruin",23054,Rannek,"2026-06-10 11:15:57"
"Gressil, Dawn of Ruin",23054,Shadowtelios,"2026-06-10 14:56:02"
"Gressil, Dawn of Ruin",23054,Tochopolvo,"2026-06-10 17:46:08"
"Hammer of the Twisting Nether",23056,Amima,"2026-06-10 17:23:42"
"Hammer of the Twisting Nether",23056,Etowa,"2026-06-10 19:22:35"
"Hammer of the Twisting Nether",23056,Etowa,"2026-06-10 19:22:35"
"Hammer of the Twisting Nether",23056,Sixto,"2026-06-10 16:35:11"
"Hammer of the Twisting Nether",23056,Sixto,"2026-06-10 16:35:11"
"Iblis, Blade of the Fallen Seraph",23014,Eïnherjar,"2026-06-10 19:12:45"
"Iblis, Blade of the Fallen Seraph",23014,Fenhir,"2026-06-10 12:02:59"
"Iblis, Blade of the Fallen Seraph",23014,Fenhir,"2026-06-10 12:02:59"
"Iblis, Blade of the Fallen Seraph",23014,Krits,"2026-06-10 17:27:28"
Kingsfall,22802,Selenax,"2026-06-10 19:19:42"
Kingsfall,22802,Selenax,"2026-06-10 19:19:42"
Kingsfall,22802,Willythepimp,"2026-06-10 11:21:05"
"Kiss of the Spider",22954,Bruceli,"2026-06-10 17:52:00"
"Kiss of the Spider",22954,Krits,"2026-06-10 17:27:28"
"Kiss of the Spider",22954,Tochopolvo,"2026-06-10 17:46:08"
"Kiss of the Spider",22954,Tsome,"2026-06-10 19:32:56"
"Legplates of Carnage",23068,Aldee,"2026-06-10 14:04:45"
"Legplates of Carnage",23068,Gertggs,"2026-06-10 19:01:36"
"Legplates of Carnage",23068,Groomz,"2026-06-10 12:22:57"
"Might of Menethil",22798,Alanakos,"2026-06-10 19:11:54"
"Might of Menethil",22798,Disponenten,"2026-06-10 15:46:39"
"Might of the Scourge",23548,Milshunter,"2026-06-10 18:08:19"
"Misplaced Servo Arm",23221,Willythepimp,"2026-06-10 11:21:05"
"Necklace of Necropsy",23036,Mezz,"2026-06-10 19:27:55"
"Necklace of Necropsy",23036,Yulefuel,"2026-06-10 19:41:29"
"Nerubian Slavemaker",22812,Milshunter,"2026-06-10 18:08:19"
"Plated Abomination Ribcage",23000,Eduard,"2026-06-10 19:00:16"
"Power of the Scourge",23545,Lilleline,"2026-06-10 11:37:46"
"Preceptor's Hat",23035,Mornie,"2026-06-10 17:07:43"
"Preceptor's Hat",23035,Mornie,"2026-06-10 17:07:43"
"Rime Covered Mantle",22983,Vallon,"2026-06-10 17:09:01"
"Ring of Faith",23061,Babiloniap,"2026-06-10 19:39:07"
"Ring of Faith",23061,Holdhur,"2026-06-10 19:30:53"
"Sapphiron's Left Eye",23049,Utzemekanism,"2026-06-10 13:01:57"
"Shroud of Dominion",23045,Alanakos,"2026-06-10 19:11:54"
"Slayer's Crest",23041,Bruceli,"2026-06-10 17:52:00"
"Slayer's Crest",23041,Eduard,"2026-06-10 19:00:16"
"Slayer's Crest",23041,Shilwa,"2026-06-10 18:47:59"
"Slayer's Crest",23041,Zbleh,"2026-06-10 14:39:23"
"Slayer's Crest",23041,Zbleh,"2026-06-10 14:39:23"
"Spire of Twilight",22801,Kristin,"2026-06-10 18:07:06"
"Stormrage's Talisman of Seething",23053,Birkler,"2026-06-10 17:19:53"
"The Castigator",22808,Aldee,"2026-06-10 14:04:45"
"The Castigator",22808,Eïnherjar,"2026-06-10 19:12:45"
"The Hungering Cold",23577,Birkler,"2026-06-10 17:19:53"
"The Hungering Cold",23577,Olibanum,"2026-06-10 17:48:38"
"The Hungering Cold",23577,Olibanum,"2026-06-10 17:48:38"
"The Hungering Cold",23577,Shadowtelios,"2026-06-10 14:56:02"
"The Phylactery of Kel'Thuzad",22520,Gertggs,"2026-06-10 19:01:36"
"The Restrained Essence of Sapphiron",23046,Caesartje,"2026-06-10 13:54:02"
"The Restrained Essence of Sapphiron",23046,Utzemekanism,"2026-06-10 13:01:57"
"The Widow's Embrace",22942,Argive,"2026-06-10 19:28:16"
"Wand of Fates",22820,Soulchained,"2026-06-10 19:33:48"
"Wraith Blade",22807,Soulchained,"2026-06-10 19:33:48"
"Wristguards of Vengeance",22936,Macharius,"2026-06-10 19:40:40"
