Item,ItemId,Name,Plus,Date
"Band of Reanimation",22961,Mssingno,0,"2025-10-15 15:58:39"
"Band of Unanswered Prayers",22939,Yulefuel,0,"2025-10-15 17:46:42"
"Band of Unnatural Forces",23038,Shadowtelios,0,"2025-10-15 16:20:33"
"Band of the Inevitable",23031,Flaggermus,0,"2025-10-15 17:57:56"
"Band of the Inevitable",23031,Utzemekanism,0,"2025-10-15 09:50:33"
"Cloak of Suturing",22960,Amima,0,"2025-10-15 18:51:41"
"Cloak of Suturing",22960,Constant,0,"2025-10-15 19:50:57"
"Cloak of Suturing",22960,Maruan,0,"2025-10-15 19:35:17"
"Cloak of Suturing",22960,Sandomin,0,"2025-10-15 14:54:11"
"Cryptfiend Silk Cloak",22938,Deliciouss,0,"2025-10-15 18:15:56"
"Death's Bargain",23075,Sixto,0,"2025-10-15 13:20:02"
"Desecrated Bindings",22369,Fitthake,0,"2025-10-15 19:15:11"
"Desecrated Boots",22365,Etowa,0,"2025-10-15 14:42:16"
"Desecrated Boots",22365,Mezz,0,"2025-10-15 19:12:41"
"Desecrated Boots",22365,Saelynn,0,"2025-10-15 14:25:06"
"Desecrated Boots",22365,Sixto,0,"2025-10-15 13:20:02"
"Desecrated Bracers",22355,Gordman,0,"2025-10-15 17:33:15"
"Desecrated Circlet",22367,Flaggermus,0,"2025-10-15 17:57:56"
"Desecrated Circlet",22367,Yulefuel,0,"2025-10-15 17:46:42"
"Desecrated Girdle",22363,Mezz,0,"2025-10-15 19:12:41"
"Desecrated Headpiece",22360,Sandomin,0,"2025-10-15 14:54:11"
"Desecrated Helmet",22353,Deliciouss,0,"2025-10-15 18:15:56"
"Desecrated Helmet",22353,Mf,0,"2025-10-15 20:03:52"
"Desecrated Helmet",22353,Rannek,0,"2025-10-15 15:10:54"
"Desecrated Legguards",22359,Skoomael,0,"2025-10-15 09:54:56"
"Desecrated Legplates",22352,Gordman,0,"2025-10-15 17:33:15"
"Desecrated Legplates",22352,Rannek,0,"2025-10-15 15:10:54"
"Desecrated Shoulderpads",22368,Fitthake,0,"2025-10-15 19:15:11"
"Desecrated Shoulderpads",22368,Gangrecoeur,0,"2025-10-15 13:59:36"
"Desecrated Spaulders",22361,Etowa,0,"2025-10-15 14:42:16"
"Desecrated Spaulders",22361,Saelynn,0,"2025-10-15 14:25:06"
"Desecrated Spaulders",22361,Skoomael,0,"2025-10-15 09:54:56"
"Eye of the Dead",23047,Mornie,0,"2025-10-14 23:53:21"
"Girdle of the Mentor",23219,Olibanum,0,"2025-10-14 23:52:43"
"Girdle of the Mentor",23219,Symm,0,"2025-10-15 19:47:08"
"Gressil, Dawn of Ruin",23054,Selenax,0,"2025-10-15 17:09:22"
"Gressil, Dawn of Ruin",23054,Selenax,0,"2025-10-15 17:09:22"
"Iblis, Blade of the Fallen Seraph",23014,Aminth,0,"2025-10-15 19:27:14"
"Iblis, Blade of the Fallen Seraph",23014,Aminth,0,"2025-10-15 19:27:14"
"Iblis, Blade of the Fallen Seraph",23014,Boomer,0,"2025-10-15 18:20:23"
"Iblis, Blade of the Fallen Seraph",23014,Farlopo,0,"2025-10-15 18:47:12"
"Iblis, Blade of the Fallen Seraph",23014,Stridaren,0,"2025-10-15 19:31:25"
Kingsfall,22802,Lamagrà,0,"2025-10-15 18:08:00"
Kingsfall,22802,Mf,0,"2025-10-15 20:03:52"
Kingsfall,22802,Minetkomat,0,"2025-10-15 19:21:34"
"Kiss of the Spider",22954,Calion,0,"2025-10-15 17:14:43"
"Kiss of the Spider",22954,Minetkomat,0,"2025-10-15 19:21:34"
"Kiss of the Spider",22954,Symm,0,"2025-10-15 19:47:08"
"Kiss of the Spider",22954,Zaiterlo,0,"2025-10-15 16:26:36"
"Kiss of the Spider",22954,Zimligimli,0,"2025-10-15 12:58:28"
"Leggings of Polarity",23070,Caesartje,0,"2025-10-15 19:21:17"
"Leggings of Polarity",23070,Lilleline,0,"2025-10-15 09:57:33"
"Leggings of Polarity",23070,Lilleline,0,"2025-10-15 09:57:33"
