Item,ItemId,Name,Class,Date
"Band of Reanimation",22961,Fletch,Rogue,"2026-02-11 18:56:21"
"Band of Unnatural Forces",23038,Alagar,Warrior,"2026-02-11 19:31:49"
"Band of Unnatural Forces",23038,Rannek,Rogue,"2026-02-11 19:06:00"
"Band of Unnatural Forces",23038,Rannek,Rogue,"2026-02-11 19:06:00"
"Band of the Inevitable",23031,Snotspat,Warlock,"2026-02-11 19:54:46"
"Brimstone Staff",22800,Eldoren,Mage,"2026-02-11 10:52:15"
"Claw of the Frost Wyrm",23242,Fletch,Rogue,"2026-02-11 18:56:21"
"Cloak of Suturing",22960,Hoiga,Priest,"2026-02-11 09:34:26"
"Cloak of Suturing",22960,Holdhur,Priest,"2026-02-11 19:28:15"
"Cloak of Suturing",22960,Sixto,Paladin,"2026-02-11 18:46:07"
"Cloak of Suturing",22960,Skoomael,Druid,"2026-02-11 19:46:20"
"Cloak of the Necropolis",23050,Flaggermus,Warlock,"2026-02-11 18:02:36"
"Corrupted Ashbringer",22691,Eredoor,Paladin,"2026-02-11 20:09:39"
"Desecrated Headpiece",22360,Skybacon,Paladin,"2026-02-11 16:31:49"
"Desecrated Robe",22351,Fitthake,Priest,"2026-02-11 09:04:32"
"Desecrated Robe",22351,Utzemekanism,Mage,"2026-02-11 10:00:19"
"Desecrated Robe",22351,Yulefuel,Priest,"2026-02-11 19:41:46"
"Desecrated Tunic",22350,Eredoor,Paladin,"2026-02-11 20:09:39"
"Desecrated Tunic",22350,Sixto,Paladin,"2026-02-11 18:46:07"
Doomfinger,22821,Lilleline,Mage,"2026-02-11 17:57:36"
"Eye of the Dead",23047,Holdhur,Priest,"2026-02-11 19:28:15"
"Eye of the Dead",23047,Sandomin,Paladin,"2026-02-11 18:51:03"
"Eye of the Dead",23047,Yulefuel,Priest,"2026-02-11 19:41:46"
"Girdle of the Mentor",23219,Olibanum,Warrior,"2026-02-11 17:48:58"
"Girdle of the Mentor",23219,Symm,Warrior,"2026-02-11 19:53:26"
"Gressil, Dawn of Ruin",23054,Bruceli,Warrior,"2026-02-11 18:06:33"
"Gressil, Dawn of Ruin",23054,Krits,Rogue,"2026-02-11 19:53:34"
"Gressil, Dawn of Ruin",23054,Selenax,Rogue,"2026-02-11 19:46:51"
"Hammer of the Twisting Nether",23056,Sandomin,Paladin,"2026-02-11 18:51:03"
"Harbinger of Doom",23044,Willythepimp,Rogue,"2026-02-11 09:56:53"
"Hatchet of Sundered Bone",22816,Shadowtelios,Warrior,"2026-02-11 18:31:03"
"Iblis, Blade of the Fallen Seraph",23014,Corvere,Rogue,"2026-02-11 18:38:15"
"Iblis, Blade of the Fallen Seraph",23014,Deliciouss,Warrior,"2026-02-11 17:48:06"
"Iblis, Blade of the Fallen Seraph",23014,Symm,Warrior,"2026-02-11 19:53:26"
"Iblis, Blade of the Fallen Seraph",23014,Zimligimli,Warrior,"2026-02-11 12:49:34"
Kingsfall,22802,Gordman,Rogue,"2026-02-11 10:48:20"
"Kiss of the Spider",22954,Birkler,Warrior,"2026-02-11 19:20:03"
"Kiss of the Spider",22954,Bruceli,Warrior,"2026-02-11 18:06:33"
"Kiss of the Spider",22954,Corvere,Rogue,"2026-02-11 18:38:15"
"Kiss of the Spider",22954,Deliciouss,Warrior,"2026-02-11 17:48:06"
"Kiss of the Spider",22954,Gordman,Rogue,"2026-02-11 10:48:20"
"Kiss of the Spider",22954,Lillkungs,Warrior,"2026-02-11 17:25:01"
"Kiss of the Spider",22954,Tochopolvo,Warrior,"2026-02-11 18:49:07"
"Kiss of the Spider",22954,Zaiterlo,Warrior,"2026-02-11 16:14:06"
"Leggings of Polarity",23070,Flaggermus,Warlock,"2026-02-11 18:02:36"
"Leggings of Polarity",23070,Gangrecoeur,Warlock,"2026-02-11 13:47:38"
"Legplates of Carnage",23068,Alagar,Warrior,"2026-02-11 19:31:49"
"Might of the Scourge",23548,Fjordur,Paladin,"2026-02-11 19:18:17"
"Misplaced Servo Arm",23221,Willythepimp,Rogue,"2026-02-11 09:56:53"
"Necklace of Necropsy",23036,Fitthake,Priest,"2026-02-11 09:04:32"
"Plated Abomination Ribcage",23000,Birkler,Warrior,"2026-02-11 19:20:03"
"Plated Abomination Ribcage",23000,Zaiterlo,Warrior,"2026-02-11 16:14:06"
"Resilience of the Scourge",23547,Skoomael,Druid,"2026-02-11 19:46:20"
"Rime Covered Mantle",22983,Vallon,Priest,"2026-02-11 17:24:50"
"Ring of Redemption",23066,Turaleon,Paladin,"2026-02-11 09:16:11"
"Sapphiron's Left Eye",23049,Caesartje,Mage,"2026-02-11 13:48:53"
"Sapphiron's Left Eye",23049,Snotspat,Warlock,"2026-02-11 19:54:46"
"Sapphiron's Right Eye",23048,Mornie,Priest,"2026-02-11 12:44:49"
"Sapphiron's Right Eye",23048,Mornie,Priest,"2026-02-11 12:44:49"
"Shield of Condemnation",22819,Turaleon,Paladin,"2026-02-11 09:16:11"
"Shroud of Dominion",23045,Fjordur,Paladin,"2026-02-11 19:18:17"
"Slayer's Crest",23041,Krits,Rogue,"2026-02-11 19:53:34"
"Slayer's Crest",23041,Selenax,Rogue,"2026-02-11 19:46:51"
"Slayer's Crest",23041,Zbleh,Hunter,"2026-02-11 19:02:10"
Soulseeker,22799,Lilleline,Mage,"2026-02-11 17:57:36"
Soulstring,22811,Zbleh,Hunter,"2026-02-11 19:02:10"
"The Castigator",22808,Lillkungs,Warrior,"2026-02-11 17:25:01"
"The Castigator",22808,Tochopolvo,Warrior,"2026-02-11 18:49:07"
"The Hungering Cold",23577,Olibanum,Warrior,"2026-02-11 17:48:58"
"The Hungering Cold",23577,Shadowtelios,Warrior,"2026-02-11 18:31:03"
"The Restrained Essence of Sapphiron",23046,Caesartje,Mage,"2026-02-11 13:48:53"
"The Soul Harvester's Bindings",23021,Vallon,Priest,"2026-02-11 17:24:50"
"The Widow's Embrace",22942,Hoiga,Priest,"2026-02-11 09:34:26"
"The Widow's Embrace",22942,Skybacon,Paladin,"2026-02-11 16:31:49"
"Wand of Fates",22820,Eldoren,Mage,"2026-02-11 10:52:15"
"Widow's Remorse",22806,Hmmguard,Warrior,"2026-02-11 19:59:18"
"Wraith Blade",22807,Gangrecoeur,Warlock,"2026-02-11 13:47:38"
"Wraith Blade",22807,Utzemekanism,Mage,"2026-02-11 10:00:19"
"Wristguards of Vengeance",22936,Hmmguard,Warrior,"2026-02-11 19:59:18"
"Wristguards of Vengeance",22936,Zimligimli,Warrior,"2026-02-11 12:49:34"
